knot,april,june,verdict,unknotting_crossings,in_crossing_dataset
10_1,"[1,1]","[1,1]",u = 1,"[0,5]",True
10_10,"[1,1]","[1,1]",u = 1,[4],True
10_102,"[1,1]","[1,1]",u = 1,"[4,8]",True
10_104,"[1,1]","[1,1]",u = 1,"[3,4]",True
10_107,"[1,1]","[1,1]",u = 1,[8],True
10_113,"[1,1]","[1,1]",u = 1,"[0,8]",True
10_114,"[1,1]","[1,1]",u = 1,"[0,5]",True
10_118,"[1,1]","[1,1]",u = 1,"[0,5]",True
10_119,"[1,1]","[1,1]",u = 1,[8],True
10_17,"[1,1]","[1,1]",u = 1,"[0,2]",True
10_18,"[1,1]","[1,1]",u = 1,[1],True
10_23,"[1,1]","[1,1]",u = 1,[6],True
10_26,"[1,1]","[1,1]",u = 1,[5],True
10_27,"[1,1]","[1,1]",u = 1,[9],True
10_30,"[1,1]","[1,1]",u = 1,[1],True
10_31,"[1,1]","[1,1]",u = 1,[5],True
10_32,"[1,1]","[1,1]",u = 1,[4],True
10_33,"[1,1]","[1,1]",u = 1,"[1,3]",True
10_42,"[1,1]","[1,1]",u = 1,[1],True
10_44,"[1,1]","[1,1]",u = 1,[5],True
10_59,"[1,1]","[1,1]",u = 1,[4],True
10_60,"[1,1]","[1,1]",u = 1,"[1,9]",True
10_7,"[1,1]","[1,1]",u = 1,[6],True
10_71,"[1,1]","[1,1]",u = 1,[0],True
10_73,"[1,1]","[1,1]",u = 1,[1],True
10_82,"[1,1]","[1,1]",u = 1,[1],True
10_84,"[1,1]","[1,1]",u = 1,[8],True
10_88,"[1,1]","[1,1]",u = 1,"[4,6]",True
10_9,"[1,1]","[1,1]",u = 1,[3],True
10_91,"[1,1]","[1,1]",u = 1,[4],True
10_95,"[1,1]","[1,1]",u = 1,[1],True
11a_10,"[1,1]","[1,1]",u = 1,[0],True
11a_101,"[1,1]","[1,1]",u = 1,[7],True
11a_104,"[1,1]","[1,1]",u = 1,[4],True
11a_106,"[1,1]","[1,1]",u = 1,"[0,7]",True
11a_11,"[1,1]","[1,1]",u = 1,[1],True
11a_114,"[1,1]","[1,1]",u = 1,[4],True
11a_12,"[1,1]","[1,1]",u = 1,[1],True
11a_121,"[1,1]","[1,1]",u = 1,"[4,7]",True
11a_122,"[1,1]","[1,1]",u = 1,[10],True
11a_136,"[1,1]","[1,1]",u = 1,[9],True
11a_138,"[1,1]","[1,1]",u = 1,[1],True
11a_139,"[1,1]","[1,1]",u = 1,[0],True
11a_146,"[1,1]","[1,1]",u = 1,[8],True
11a_149,"[1,1]","[1,1]",u = 1,[5],True
11a_160,"[1,1]","[1,1]",u = 1,"[4,9]",True
11a_167,"[1,1]","[1,1]",u = 1,[8],True
11a_168,"[1,1]","[1,1]",u = 1,[7],True
11a_180,"[1,1]","[1,1]",u = 1,[6],True
11a_184,"[1,1]","[1,1]",u = 1,[7],True
11a_187,"[1,1]","[1,1]",u = 1,[5],True
11a_189,"[1,1]","[1,1]",u = 1,"[0,6]",True
11a_190,"[1,1]","[1,1]",u = 1,[2],True
11a_195,"[1,1]","[1,1]",u = 1,[0],True
11a_198,"[1,1]","[1,1]",u = 1,"[0,6]",True
11a_209,"[1,1]","[1,1]",u = 1,[4],True
11a_210,"[1,1]","[1,1]",u = 1,[5],True
11a_216,"[1,1]","[1,1]",u = 1,[0],True
11a_222,"[1,1]","[1,1]",u = 1,[5],True
11a_226,"[1,1]","[1,1]",u = 1,[6],True
11a_230,"[1,1]","[1,1]",u = 1,[0],True
11a_233,"[1,1]","[1,1]",u = 1,"[5,6]",True
11a_247,"[1,1]","[1,1]",u = 1,"[1,10]",True
11a_255,"[1,1]","[1,1]",u = 1,[3],True
11a_256,"[1,1]","[1,1]",u = 1,[1],True
11a_257,"[1,1]","[1,1]",u = 1,[8],True
11a_264,"[1,1]","[1,1]",u = 1,[1],True
11a_266,"[1,1]","[1,1]",u = 1,"[0,6]",True
11a_267,"[1,1]","[1,1]",u = 1,[3],True
11a_272,"[1,1]","[1,1]",u = 1,[3],True
11a_280,"[1,1]","[1,1]",u = 1,"[0,1]",True
11a_282,"[1,1]","[1,1]",u = 1,[2],True
11a_283,"[1,1]","[1,1]",u = 1,[9],True
11a_287,"[1,1]","[1,1]",u = 1,[6],True
11a_289,"[1,1]","[1,1]",u = 1,"[0,8]",True
11a_290,"[1,1]","[1,1]",u = 1,[3],True
11a_300,"[1,1]","[1,1]",u = 1,[9],True
11a_307,"[1,1]","[1,1]",u = 1,[3],True
11a_311,"[1,1]","[1,1]",u = 1,[1],True
11a_326,"[1,1]","[1,1]",u = 1,[9],True
11a_34,"[1,1]","[1,1]",u = 1,[7],True
11a_345,"[1,1]","[1,1]",u = 1,[10],True
11a_35,"[1,1]","[1,1]",u = 1,[6],True
11a_351,"[1,1]","[1,1]",u = 1,"[1,5,6,10]",True
11a_41,"[1,1]","[1,1]",u = 1,"[0,6]",True
11a_56,"[1,1]","[1,1]",u = 1,[0],True
11a_69,"[1,1]","[1,1]",u = 1,[1],True
11a_70,"[1,1]","[1,1]",u = 1,[5],True
11a_71,"[1,1]","[1,1]",u = 1,[4],True
11a_73,"[1,1]","[1,1]",u = 1,"[5,9]",True
11a_77,"[1,1]","[1,1]",u = 1,[5],True
11a_78,"[1,1]","[1,1]",u = 1,"[0,7]",True
11a_8,"[1,1]","[1,1]",u = 1,[0],True
11a_80,"[1,1]","[1,1]",u = 1,[8],True
11a_82,"[1,1]","[1,1]",u = 1,[2],True
11a_86,"[1,1]","[1,1]",u = 1,[0],True
11a_88,"[1,1]","[1,1]",u = 1,[0],True
11a_91,"[1,1]","[1,1]",u = 1,[4],True
11a_96,"[1,1]","[1,1]",u = 1,[4],True
11a_98,"[1,1]","[1,1]",u = 1,[1],True
