knot,baseline,paper,september,relation
11a_14,"[2,3]","[2,3]","[2,2]",paper_weaker
11a_144,"[2,3]","[3,3]","[3,3]",equal
11a_18,"[2,3]","[2,3]","[2,2]",paper_weaker
11a_291,"[3,4]","[4,4]","[3,4]",paper_stronger
11a_298,"[3,4]","[4,4]","[3,4]",paper_stronger
11a_299,"[2,3]","[3,3]","[3,3]",equal
11a_319,"[3,4]","[4,4]","[3,4]",paper_stronger
11a_320,"[2,3]","[3,3]","[3,3]",equal
11a_329,"[2,3]","[3,3]","[3,3]",equal
11a_336,"[3,4]","[4,4]","[3,4]",paper_stronger
11a_340,"[3,4]","[4,4]","[3,4]",paper_stronger
11a_353,"[3,4]","[4,4]","[3,4]",paper_stronger
11a_354,"[2,4]","[3,4]","[3,4]",equal
11a_356,"[3,4]","[4,4]","[3,4]",paper_stronger
11a_357,"[3,4]","[4,4]","[3,4]",paper_stronger
11a_63,"[2,3]","[3,3]","[3,3]",equal
11a_64,"[2,3]","[3,3]","[3,3]",equal
11a_83,"[2,3]","[2,3]","[2,2]",paper_weaker
11n_122,"[1,2]","[2,2]","[1,2]",paper_stronger
11n_138,"[1,2]","[2,2]","[1,2]",paper_stronger
11n_17,"[1,2]","[2,2]","[1,2]",paper_stronger
11n_23,"[2,3]","[2,3]","[2,2]",paper_weaker
11n_3,"[1,2]","[2,2]","[1,2]",paper_stronger
11n_51,"[1,2]","[2,2]","[1,2]",paper_stronger
11n_54,"[1,2]","[2,2]","[1,2]",paper_stronger
11n_60,"[1,2]","[2,2]","[1,2]",paper_stronger
12a_1004,"[3,4]","[4,4]","[3,4]",paper_stronger
12a_102,"[3,4]","[4,4]","[3,4]",paper_stronger
12a_1035,"[3,4]","[4,4]","[3,4]",paper_stronger
12a_1037,"[2,4]","[3,4]","[3,4]",equal
12a_107,"[3,4]","[4,4]","[3,3]",disjoint
12a_1097,"[2,4]","[3,4]","[3,4]",equal
12a_1112,"[3,4]","[4,4]","[3,4]",paper_stronger
12a_1113,"[2,4]","[3,4]","[3,4]",equal
12a_144,"[3,4]","[4,4]","[3,4]",paper_stronger
12a_145,"[3,4]","[4,4]","[3,4]",paper_stronger
12a_152,"[2,3]","[3,3]","[3,3]",equal
12a_156,"[2,4]","[3,4]","[3,4]",equal
12a_231,"[2,3]","[3,3]","[3,3]",equal
12a_240,"[2,3]","[2,3]","[2,2]",paper_weaker
12a_244,"[2,3]","[2,3]","[2,2]",paper_weaker
12a_254,"[2,3]","[3,3]","[3,3]",equal
12a_269,"[2,3]","[3,3]","[3,3]",equal
12a_289,"[2,3]","[3,3]","[3,3]",equal
12a_319,"[3,4]","[4,4]","[3,4]",paper_stronger
12a_320,"[2,3]","[3,3]","[3,3]",equal
12a_331,"[2,3]","[3,3]","[3,3]",equal
12a_35,"[2,3]","[3,3]","[3,3]",equal
12a_368,"[3,4]","[4,4]","[3,4]",paper_stronger
12a_37,"[2,3]","[3,3]","[3,3]",equal
12a_391,"[3,4]","[4,4]","[3,4]",paper_stronger
12a_392,"[2,4]","[3,4]","[3,4]",equal
12a_41,"[2,3]","[2,3]","[2,2]",paper_weaker
12a_421,"[2,3]","[3,3]","[3,3]",equal
12a_431,"[3,4]","[4,4]","[3,4]",paper_stronger
12a_443,"[2,3]","[3,3]","[3,3]",equal
12a_462,"[2,3]","[2,3]","[2,2]",paper_weaker
12a_47,"[2,3]","[3,3]","[3,3]",equal
12a_49,"[2,3]","[2,3]","[2,2]",paper_weaker
12a_586,"[3,4]","[4,4]","[3,4]",paper_stronger
12a_610,"[2,3]","[3,3]","[3,3]",equal
12a_634,"[2,3]","[3,3]","[2,3]",paper_stronger
12a_639,"[2,3]","[2,3]","[2,2]",paper_weaker
12a_653,"[2,3]","[3,3]","[3,3]",equal
12a_659,"[3,4]","[4,4]","[3,4]",paper_stronger
12a_661,"[2,3]","[3,3]","[3,3]",equal
12a_680,"[2,3]","[2,3]","[2,2]",paper_weaker
12a_75,"[2,3]","[3,3]","[3,3]",equal
12a_763,"[2,3]","[3,3]","[3,3]",equal
12a_764,"[2,3]","[3,3]","[3,3]",equal
12a_795,"[2,3]","[3,3]","[3,3]",equal
12a_796,"[2,3]","[3,3]","[3,3]",equal
12a_798,"[2,3]","[3,3]","[3,3]",equal
12a_800,"[2,3]","[3,3]","[3,3]",equal
12a_812,"[2,3]","[3,3]","[3,3]",equal
12a_814,"[3,4]","[4,4]","[3,4]",paper_stronger
12a_828,"[3,4]","[4,4]","[3,4]",paper_stronger
12a_877,"[3,4]","[4,4]","[3,4]",paper_stronger
12a_880,"[2,3]","[3,3]","[3,3]",equal
12a_900,"[3,4]","[4,4]","[3,4]",paper_stronger
12a_938,"[2,3]","[3,3]","[3,3]",equal
12a_94,"[3,4]","[4,4]","[3,4]",paper_stronger
12a_967,"[2,3]","[3,3]","[3,3]",equal
12a_97,"[2,3]","[3,3]","[3,3]",equal
12a_973,"[3,4]","[4,4]","[3,4]",paper_stronger
12a_974,"[2,3]","[3,3]","[3,3]",equal
12a_978,"[2,3]","[3,3]","[3,3]",equal
12a_983,"[2,3]","[3,3]","[3,3]",equal
12a_995,"[3,4]","[4,4]","[3,4]",paper_stronger
12a_996,"[2,3]","[3,3]","[3,3]",equal
12n_11,"[1,2]","[2,2]","[1,2]",paper_stronger
12n_12,"[1,2]","[2,2]","[1,2]",paper_stronger
12n_135,"[2,3]","[2,3]","[2,2]",paper_weaker
12n_154,"[1,2]","[2,2]","[1,2]",paper_stronger
12n_159,"[1,2]","[2,2]","[1,2]",paper_stronger
12n_160,"[1,2]","[2,2]","[1,2]",paper_stronger
12n_162,"[1,2]","[2,2]","[1,2]",paper_stronger
12n_167,"[1,3]","[2,3]","[1,3]",paper_stronger
12n_170,"[1,2]","[2,2]","[1,2]",paper_stronger
12n_208,"[2,3]","[2,3]","[2,2]",paper_weaker
12n_212,"[2,3]","[2,3]","[2,2]",paper_weaker
12n_238,"[1,2]","[2,2]","[1,2]",paper_stronger
12n_241,"[1,2]","[2,2]","[1,2]",paper_stronger
12n_286,"[1,2]","[2,2]","[1,2]",paper_stronger
12n_288,"[1,2]","[2,2]","[1,2]",paper_stronger
12n_295,"[1,2]","[2,2]","[1,2]",paper_stronger
12n_301,"[1,2]","[2,2]","[1,2]",paper_stronger
12n_302,"[1,2]","[2,2]","[1,2]",paper_stronger
12n_304,"[1,3]","[2,3]","[1,3]",paper_stronger
12n_307,"[1,3]","[2,3]","[1,3]",paper_stronger
12n_337,"[1,2]","[2,2]","[1,2]",paper_stronger
12n_41,"[1,2]","[2,2]","[1,2]",paper_stronger
12n_42,"[1,2]","[2,2]","[1,2]",paper_stronger
12n_43,"[1,2]","[2,2]","[1,2]",paper_stronger
12n_44,"[1,2]","[2,2]","[1,2]",paper_stronger
12n_444,"[1,2]","[2,2]","[1,2]",paper_stronger
12n_45,"[1,2]","[2,2]","[1,2]",paper_stronger
12n_457,"[1,2]","[2,2]","[1,2]",paper_stronger
12n_47,"[1,2]","[2,2]","[1,2]",paper_stronger
12n_470,"[1,2]","[2,2]","[1,2]",paper_stronger
12n_471,"[1,2]","[2,2]","[1,2]",paper_stronger
12n_475,"[1,2]","[2,2]","[1,2]",paper_stronger
12n_478,"[1,2]","[2,2]","[1,2]",paper_stronger
12n_479,"[1,2]","[2,2]","[1,2]",paper_stronger
12n_48,"[1,2]","[2,2]","[1,2]",paper_stronger
12n_491,"[1,2]","[2,2]","[1,2]",paper_stronger
12n_500,"[1,2]","[2,2]","[1,2]",paper_stronger
12n_501,"[1,2]","[2,2]","[1,2]",paper_stronger
12n_522,"[1,3]","[2,3]","[1,3]",paper_stronger
12n_523,"[1,2]","[2,2]","[1,2]",paper_stronger
12n_550,"[1,2]","[2,2]","[1,2]",paper_stronger
12n_564,"[1,2]","[2,2]","[1,2]",paper_stronger
12n_577,"[1,2]","[2,2]","[1,2]",paper_stronger
12n_578,"[1,2]","[2,2]","[1,2]",paper_stronger
12n_721,"[1,3]","[2,3]","[1,3]",paper_stronger
12n_723,"[1,2]","[2,2]","[1,2]",paper_stronger
12n_873,"[1,3]","[2,3]","[1,3]",paper_stronger
12n_90,"[2,3]","[2,3]","[2,2]",paper_weaker
13a_1043,"[2,3]","[3,3]","[3,3]",equal
13a_1051,"[2,3]","[3,3]","[3,3]",equal
13a_1061,"[3,4]","[4,4]","[3,4]",paper_stronger
13a_1062,"[2,3]","[3,3]","[3,3]",equal
13a_1069,"[1,4]","[2,4]","[2,3]",paper_weaker
13a_1137,"[2,3]","[3,3]","[3,3]",equal
13a_1140,"[2,3]","[3,3]","[3,3]",equal
13a_1147,"[2,3]","[3,3]","[3,3]",equal
13a_1182,"[2,3]","[3,3]","[3,3]",equal
13a_12,"[1,3]","[2,3]","[2,2]",paper_weaker
13a_120,"[1,3]","[2,3]","[2,2]",paper_weaker
13a_121,"[1,3]","[2,3]","[2,2]",paper_weaker
13a_1232,"[2,3]","[3,3]","[2,3]",paper_stronger
13a_1238,"[2,3]","[3,3]","[2,3]",paper_stronger
13a_1270,"[3,4]","[4,4]","[3,4]",paper_stronger
13a_1273,"[2,3]","[3,3]","[2,3]",paper_stronger
13a_1295,"[2,3]","[3,3]","[3,3]",equal
13a_1306,"[3,4]","[4,4]","[3,4]",paper_stronger
13a_1317,"[2,3]","[3,3]","[2,3]",paper_stronger
13a_1329,"[2,3]","[3,3]","[3,3]",equal
13a_133,"[1,4]","[2,4]","[2,3]",paper_weaker
13a_1331,"[2,3]","[3,3]","[3,3]",equal
13a_1339,"[2,3]","[3,3]","[3,3]",equal
13a_1353,"[3,4]","[4,4]","[3,4]",paper_stronger
13a_1354,"[3,4]","[4,4]","[3,4]",paper_stronger
13a_1356,"[3,4]","[4,4]","[3,4]",paper_stronger
13a_1398,"[2,3]","[3,3]","[2,3]",paper_stronger
13a_1403,"[2,3]","[3,3]","[3,3]",equal
13a_1413,"[2,3]","[3,3]","[3,3]",equal
13a_1440,"[2,3]","[3,3]","[3,3]",equal
13a_1465,"[2,3]","[3,3]","[3,3]",equal
13a_1467,"[3,4]","[4,4]","[3,4]",paper_stronger
13a_1469,"[2,3]","[3,3]","[3,3]",equal
13a_1471,"[3,4]","[4,4]","[3,4]",paper_stronger
13a_1472,"[2,3]","[3,3]","[3,3]",equal
13a_1475,"[2,3]","[3,3]","[3,3]",equal
13a_1491,"[2,3]","[3,3]","[3,3]",equal
13a_1495,"[2,3]","[3,3]","[3,3]",equal
13a_1499,"[2,3]","[3,3]","[3,3]",equal
13a_15,"[2,3]","[3,3]","[2,2]",disjoint
13a_150,"[2,3]","[3,3]","[3,3]",equal
13a_154,"[2,3]","[3,3]","[3,3]",equal
13a_1546,"[2,3]","[3,3]","[3,3]",equal
13a_1547,"[2,3]","[3,3]","[3,3]",equal
13a_1549,"[1,3]","[2,3]","[2,2]",paper_weaker
13a_1552,"[2,3]","[3,3]","[3,3]",equal
13a_1554,"[2,3]","[3,3]","[3,3]",equal
13a_1557,"[2,3]","[3,3]","[2,3]",paper_stronger
13a_157,"[2,4]","[2,4]","[2,3]",paper_weaker
13a_1580,"[2,3]","[3,3]","[3,3]",equal
13a_16,"[2,3]","[3,3]","[3,3]",equal
13a_160,"[2,4]","[2,4]","[2,3]",paper_weaker
13a_1615,"[2,3]","[3,3]","[3,3]",equal
13a_1616,"[2,3]","[3,3]","[3,3]",equal
13a_1617,"[2,3]","[3,3]","[2,3]",paper_stronger
13a_1618,"[2,3]","[3,3]","[3,3]",equal
13a_162,"[2,4]","[2,4]","[2,3]",paper_weaker
13a_1638,"[2,3]","[3,3]","[2,3]",paper_stronger
13a_1643,"[2,3]","[3,3]","[3,3]",equal
13a_1656,"[1,3]","[2,3]","[2,2]",paper_weaker
13a_1698,"[1,4]","[2,4]","[2,3]",paper_weaker
13a_170,"[2,3]","[3,3]","[3,3]",equal
13a_1712,"[1,3]","[2,3]","[2,2]",paper_weaker
13a_172,"[2,3]","[3,3]","[3,3]",equal
13a_1721,"[2,3]","[3,3]","[2,3]",paper_stronger
13a_174,"[2,4]","[2,4]","[2,3]",paper_weaker
13a_1786,"[2,3]","[3,3]","[2,3]",paper_stronger
13a_179,"[2,3]","[2,3]","[2,2]",paper_weaker
13a_1826,"[2,3]","[3,3]","[2,3]",paper_stronger
13a_1893,"[3,4]","[4,4]","[3,4]",paper_stronger
13a_19,"[1,3]","[2,3]","[2,2]",paper_weaker
13a_1910,"[2,3]","[3,3]","[2,3]",paper_stronger
13a_1911,"[3,4]","[4,4]","[3,4]",paper_stronger
13a_1941,"[3,4]","[4,4]","[3,4]",paper_stronger
13a_1943,"[2,3]","[3,3]","[3,3]",equal
13a_195,"[1,4]","[2,4]","[2,3]",paper_weaker
13a_1974,"[2,3]","[3,3]","[2,3]",paper_stronger
13a_1984,"[2,3]","[3,3]","[2,3]",paper_stronger
13a_1997,"[2,4]","[2,4]","[2,3]",paper_weaker
13a_2008,"[2,3]","[3,3]","[2,3]",paper_stronger
13a_2025,"[2,3]","[3,3]","[2,3]",paper_stronger
13a_203,"[2,4]","[2,4]","[2,3]",paper_weaker
13a_2037,"[2,3]","[3,3]","[3,3]",equal
13a_2076,"[3,4]","[4,4]","[3,4]",paper_stronger
13a_209,"[2,3]","[3,3]","[3,3]",equal
13a_2125,"[2,3]","[3,3]","[3,3]",equal
13a_2128,"[3,4]","[4,4]","[3,4]",paper_stronger
13a_2129,"[2,4]","[3,4]","[3,4]",equal
13a_2149,"[3,4]","[4,4]","[3,4]",paper_stronger
13a_217,"[2,3]","[3,3]","[3,3]",equal
13a_2185,"[2,3]","[3,3]","[3,3]",equal
13a_2269,"[2,3]","[3,3]","[3,3]",equal
13a_2289,"[3,4]","[4,4]","[3,4]",paper_stronger
13a_2290,"[2,3]","[3,3]","[3,3]",equal
13a_2291,"[2,3]","[3,3]","[3,3]",equal
13a_2295,"[2,3]","[3,3]","[3,3]",equal
13a_231,"[2,3]","[3,3]","[3,3]",equal
13a_2310,"[2,3]","[3,3]","[3,3]",equal
13a_2317,"[2,3]","[3,3]","[3,3]",equal
13a_2333,"[3,4]","[4,4]","[3,4]",paper_stronger
13a_2334,"[2,3]","[3,3]","[3,3]",equal
13a_2342,"[3,4]","[4,4]","[3,4]",paper_stronger
13a_2359,"[2,3]","[3,3]","[3,3]",equal
13a_236,"[1,4]","[2,4]","[2,3]",paper_weaker
13a_2360,"[2,3]","[3,3]","[3,3]",equal
13a_2365,"[2,3]","[3,3]","[3,3]",equal
13a_2373,"[2,3]","[3,3]","[3,3]",equal
13a_2379,"[2,3]","[3,3]","[3,3]",equal
13a_2399,"[2,3]","[3,3]","[3,3]",equal
13a_2412,"[2,3]","[3,3]","[3,3]",equal
13a_2434,"[2,3]","[3,3]","[3,3]",equal
13a_247,"[2,4]","[2,4]","[2,3]",paper_weaker
13a_2478,"[2,3]","[3,3]","[3,3]",equal
13a_248,"[3,4]","[4,4]","[3,4]",paper_stronger
13a_2502,"[2,3]","[3,3]","[3,3]",equal
13a_251,"[2,3]","[3,3]","[3,3]",equal
13a_2510,"[2,3]","[3,3]","[2,3]",paper_stronger
13a_2520,"[2,3]","[3,3]","[3,3]",equal
13a_2620,"[3,4]","[4,4]","[3,4]",paper_stronger
13a_2634,"[2,4]","[2,4]","[2,3]",paper_weaker
13a_2636,"[2,4]","[2,4]","[2,3]",paper_weaker
13a_2697,"[2,3]","[3,3]","[3,3]",equal
13a_2698,"[2,3]","[3,3]","[3,3]",equal
13a_271,"[1,4]","[2,4]","[2,3]",paper_weaker
13a_2720,"[2,3]","[3,3]","[2,3]",paper_stronger
13a_2725,"[3,4]","[4,4]","[3,4]",paper_stronger
13a_2727,"[2,3]","[3,3]","[2,3]",paper_stronger
13a_2745,"[2,3]","[3,3]","[2,3]",paper_stronger
13a_275,"[1,4]","[2,4]","[2,3]",paper_weaker
13a_2759,"[3,4]","[4,4]","[3,4]",paper_stronger
13a_2760,"[3,4]","[4,4]","[3,4]",paper_stronger
13a_2761,"[2,3]","[3,3]","[3,3]",equal
13a_2766,"[2,3]","[3,3]","[3,3]",equal
13a_2767,"[2,4]","[3,4]","[3,4]",equal
13a_2773,"[3,4]","[4,4]","[3,4]",paper_stronger
13a_2777,"[2,3]","[3,3]","[3,3]",equal
13a_2784,"[2,3]","[3,3]","[3,3]",equal
13a_2785,"[2,3]","[3,3]","[3,3]",equal
13a_2805,"[2,3]","[3,3]","[3,3]",equal
13a_2809,"[2,3]","[3,3]","[2,3]",paper_stronger
13a_2821,"[2,3]","[3,3]","[3,3]",equal
13a_2832,"[2,3]","[3,3]","[3,3]",equal
13a_2834,"[2,3]","[3,3]","[3,3]",equal
13a_2843,"[2,3]","[3,3]","[3,3]",equal
13a_2857,"[3,4]","[4,4]","[3,4]",paper_stronger
13a_2859,"[2,3]","[3,3]","[3,3]",equal
13a_2865,"[2,3]","[3,3]","[3,3]",equal
13a_2867,"[3,4]","[4,4]","[3,4]",paper_stronger
13a_2871,"[3,4]","[4,4]","[3,4]",paper_stronger
13a_2879,"[2,4]","[3,4]","[2,4]",paper_stronger
13a_2888,"[2,3]","[3,3]","[3,3]",equal
13a_2890,"[2,3]","[3,3]","[2,3]",paper_stronger
13a_2911,"[2,3]","[3,3]","[3,3]",equal
