knot,KnotInfo value before adoption (DKT workbook column),KnotInfo 2026.8.1 value,source of the change,our verification
11a_14,"[2,3]",2,"Dranowski-Kabkov-Tubbenhauer, arXiv:2603.07955 / github.com/dtubbenhauer/upperbounds","claimed witness checked: the crossing change in the paper gives 8_8, not 10_129; no valid witness"
11a_18,"[2,3]",2,"Dranowski-Kabkov-Tubbenhauer, arXiv:2603.07955 / github.com/dtubbenhauer/upperbounds",Owens test silent; adopted upper bound unverified (Jones-only identification)
11a_83,"[2,3]",2,"Dranowski-Kabkov-Tubbenhauer, arXiv:2603.07955 / github.com/dtubbenhauer/upperbounds",Owens test silent; adopted upper bound unverified (Jones-only identification)
11n_23,"[2,3]",2,"Dranowski-Kabkov-Tubbenhauer, arXiv:2603.07955 / github.com/dtubbenhauer/upperbounds",adopted upper bound unverified (Jones-only identification)
12a_41,"[2,3]",2,"Dranowski-Kabkov-Tubbenhauer, arXiv:2603.07955 / github.com/dtubbenhauer/upperbounds",Owens test silent; adopted upper bound unverified (Jones-only identification)
12a_49,"[2,3]",2,"Dranowski-Kabkov-Tubbenhauer, arXiv:2603.07955 / github.com/dtubbenhauer/upperbounds",Owens test silent; adopted upper bound unverified (Jones-only identification)
12a_107,"[3,4]",3,"Dranowski-Kabkov-Tubbenhauer, arXiv:2603.07955 / github.com/dtubbenhauer/upperbounds",OBSTRUCTED at u=3 (rank-3 Owens): u = 4
12a_240,"[2,3]",2,"Dranowski-Kabkov-Tubbenhauer, arXiv:2603.07955 / github.com/dtubbenhauer/upperbounds",Owens test silent; adopted upper bound unverified (Jones-only identification)
12a_244,"[2,3]",2,"Dranowski-Kabkov-Tubbenhauer, arXiv:2603.07955 / github.com/dtubbenhauer/upperbounds",Owens test silent; adopted upper bound unverified (Jones-only identification)
12a_462,"[2,3]",2,"Dranowski-Kabkov-Tubbenhauer, arXiv:2603.07955 / github.com/dtubbenhauer/upperbounds",adopted upper bound unverified (Jones-only identification)
12a_639,"[2,3]",2,"Dranowski-Kabkov-Tubbenhauer, arXiv:2603.07955 / github.com/dtubbenhauer/upperbounds",Owens test silent; adopted upper bound unverified (Jones-only identification)
12a_680,"[2,3]",2,"Dranowski-Kabkov-Tubbenhauer, arXiv:2603.07955 / github.com/dtubbenhauer/upperbounds",Owens test silent; adopted upper bound unverified (Jones-only identification)
