name,determinant,role,cohorts,Greene_candidate_vectors,Montesinos_candidate_vectors,PE_passes,PES_passes,PEM_passes,PESM_passes,PESMB_passes
10_1,17,control,montesinos,,1,1,1,1,1,1
10_10,45,control,montesinos,,1,1,1,1,1,1
10_12,47,control,montesinos,,1,1,0,0,0,0
10_125,11,control,montesinos,,1,1,0,0,0,0
10_126,19,control,montesinos,,1,1,0,0,0,0
10_127,29,control,montesinos,,1,0,0,0,0,0
10_129,25,control,greene;montesinos,1,1,1,1,1,1,1
10_13,53,control,montesinos,,1,1,0,0,0,0
10_130,17,control,montesinos,,1,1,0,0,0,0
10_131,31,control,greene;montesinos,1,1,1,1,1,1,1
10_132,5,control,montesinos,,1,1,1,1,1,1
10_133,19,control,greene;montesinos,1,1,1,1,1,1,1
10_135,37,control,montesinos,,1,1,0,0,0,0
10_136,15,control,montesinos,,1,1,1,1,1,1
10_137,25,control,greene;montesinos,1,1,1,1,1,1,1
10_138,35,control,montesinos,,1,1,0,0,0,0
10_14,57,control,montesinos,,1,0,0,0,0,0
10_140,9,control,montesinos,,1,0,0,0,0,0
10_141,21,control,greene;montesinos,1,1,1,1,1,1,1
10_143,27,control,greene;montesinos,1,1,1,1,1,1,1
10_144,39,control,montesinos,,1,0,0,0,0,0
10_145,3,control,montesinos,,1,0,0,0,0,0
10_146,33,control,greene;montesinos,1,1,1,1,1,1,1
10_147,27,control,greene;montesinos,1,1,1,1,1,1,1
10_15,43,control,montesinos,,1,1,0,0,0,0
10_156,35,control,greene,1,,1,1,1,1,1
10_159,39,control,greene,1,,1,1,1,1,1
10_16,47,control,montesinos,,1,1,0,0,0,0
10_164,45,control,greene,1,,1,1,1,1,1
10_17,41,control,montesinos,,1,1,1,1,1,1
10_18,55,control,montesinos,,1,1,1,1,1,1
10_19,51,control,montesinos,,1,0,0,0,0,0
10_20,35,control,montesinos,,1,0,0,0,0,0
10_21,45,control,montesinos,,1,0,0,0,0,0
10_22,49,control,montesinos,,1,1,0,0,0,0
10_23,59,control,montesinos,,1,1,1,1,1,1
10_24,55,control,montesinos,,1,0,0,0,0,0
10_25,65,control,montesinos,,1,0,0,0,0,0
10_26,61,control,montesinos,,1,1,1,1,1,1
10_27,71,control,montesinos,,1,1,1,1,1,1
10_28,53,control,montesinos,,1,1,0,0,0,0
10_29,63,control,montesinos,,1,0,0,0,0,0
10_3,25,control,montesinos,,1,0,0,0,0,0
10_30,67,control,montesinos,,1,1,1,1,1,1
10_31,57,control,montesinos,,1,1,1,1,1,1
10_32,69,control,montesinos,,1,1,1,1,1,1
10_33,65,control,montesinos,,1,1,1,1,1,1
10_34,37,control,montesinos,,1,1,0,0,0,0
10_35,49,control,montesinos,,1,1,0,0,0,0
10_36,51,control,montesinos,,1,0,0,0,0,0
10_37,53,control,montesinos,,1,1,0,0,0,0
10_38,59,control,montesinos,,1,1,0,0,0,0
10_39,61,control,montesinos,,1,0,0,0,0,0
10_4,27,control,montesinos,,1,1,0,0,0,0
10_40,75,control,montesinos,,1,0,0,0,0,0
10_41,71,control,montesinos,,1,1,0,0,0,0
10_42,81,control,montesinos,,1,1,1,1,1,1
10_43,73,control,montesinos,,1,1,0,0,0,0
10_44,79,control,montesinos,,1,1,1,1,1,1
10_45,89,control,montesinos,,1,1,0,0,0,0
10_48,49,control,montesinos,,1,1,0,0,0,0
10_5,33,control,montesinos,,1,0,0,0,0,0
10_50,53,control,montesinos,,1,0,0,0,0,0
10_52,59,control,montesinos,,1,1,0,0,0,0
10_55,61,control,montesinos,,1,0,0,0,0,0
10_56,65,control,montesinos,,1,0,0,0,0,0
10_57,79,control,montesinos,,1,1,0,0,0,0
10_58,65,control,montesinos,,1,1,0,0,0,0
10_59,75,control,montesinos,,1,1,1,1,1,1
10_60,85,control,montesinos,,1,1,1,1,1,1
10_62,45,control,montesinos,,1,0,0,0,0,0
10_63,57,control,montesinos,,1,0,0,0,0,0
10_64,51,control,montesinos,,1,1,0,0,0,0
10_65,63,control,montesinos,,1,0,0,0,0,0
10_67,63,control,montesinos,,1,0,0,0,0,0
10_68,57,control,montesinos,,1,0,0,0,0,0
10_69,87,control,montesinos,,1,0,0,0,0,0
10_7,43,control,montesinos,,1,1,1,1,1,1
10_70,67,control,montesinos,,1,1,0,0,0,0
10_71,77,control,montesinos,,1,1,1,1,1,1
10_72,73,control,montesinos,,1,0,0,0,0,0
10_73,83,control,montesinos,,1,1,1,1,1,1
10_78,69,control,montesinos,,1,0,0,0,0,0
10_8,29,control,montesinos,,1,0,0,0,0,0
10_9,39,control,montesinos,,1,1,1,1,1,1
11a_1,127,control,montesinos,,1,1,0,0,0,0
11a_10,107,control,montesinos,,1,1,1,1,1,1
11a_100,141,control,montesinos,,1,0,0,0,0,0
11a_103,81,control,montesinos,,1,0,0,0,0,0
11a_104,125,control,montesinos,,1,1,1,1,1,1
11a_106,93,control,montesinos,,1,1,1,1,1,1
11a_107,111,control,montesinos,,1,0,0,0,0,0
11a_108,99,control,montesinos,,1,1,0,0,0,0
11a_109,117,control,montesinos,,1,1,0,0,0,0
11a_11,113,control,montesinos,,1,1,1,1,1,1
11a_110,97,control,montesinos,,1,1,0,0,0,0
11a_111,103,control,montesinos,,1,1,0,0,0,0
11a_117,117,control,montesinos,,1,0,0,0,0,0
11a_118,87,control,montesinos,,1,0,0,0,0,0
11a_119,77,control,montesinos,,1,1,0,0,0,0
11a_12,103,control,montesinos,,1,1,1,1,1,1
11a_120,109,control,montesinos,,1,0,0,0,0,0
11a_121,119,control,montesinos,,1,1,1,1,1,1
11a_128,129,control,montesinos,,1,1,0,0,0,0
11a_13,61,control,montesinos,,1,1,0,0,0,0
11a_133,79,control,montesinos,,1,0,0,0,0,0
11a_134,123,control,montesinos,,1,1,0,0,0,0
11a_139,99,control,montesinos,,1,1,1,1,1,1
11a_140,65,control,montesinos,,1,0,0,0,0,0
11a_143,89,control,montesinos,,1,0,0,0,0,0
11a_145,83,control,montesinos,,1,0,0,0,0,0
11a_153,89,control,montesinos,,1,1,0,0,0,0
11a_154,67,control,montesinos,,1,1,0,0,0,0
11a_159,111,control,montesinos,,1,0,0,0,0,0
11a_16,105,control,montesinos,,1,0,0,0,0,0
11a_165,81,control,montesinos,,1,0,0,0,0,0
11a_166,59,control,montesinos,,1,1,0,0,0,0
11a_174,79,control,montesinos,,1,1,0,0,0,0
11a_175,105,control,montesinos,,1,0,0,0,0,0
11a_176,111,control,montesinos,,1,1,0,0,0,0
11a_177,97,control,montesinos,,1,0,0,0,0,0
11a_178,123,control,montesinos,,1,0,0,0,0,0
